field,question,model_answer,keywords,difficulty,student_answer,score,label
DBMS,"In your own words, what is ACID property in DBMS?","ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Easy,It has something to do with data I think.,27.0,Poor
Computer Networks,What is the difference between TCP and UDP?,"TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Medium,"as far as I know, a reliable guarantees delivery, a faster but does guarantee delivery. tcp",46.0,Average
Operating Systems,Give a short note on: what is thrashing,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Hard,occurs a system most of its time in and out of memory of thrashing,47.0,Average
Python,what is list comprehension?,List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Medium,I don't remember this concept clearly.,43.0,Average
Computer Networks,Explain: What is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Easy,Bandwidth rate of transfer across path measured bandwidth,69.0,Good
DBMS,Briefly explain what is indexing in a database?,Indexing is a data structure technique used to quickly locate and access data in a database without scanning every row.,"index, quickly, locate, data",Hard,"I think, Indexing is a data technique used quickly locate access data a row. index",61.0,Average
OOP,"In your own words, what is an interface in OOP?",An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Easy,"Not very sure, but it sounds like a technical term. It might relate to implement.",26.0,Poor
Data Structures,"In your own words, what is a hash table?","A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Medium,"basically speaking, A is a structure maps keys using a function lookup, hash",46.0,Average
Data Structures,Explain: What is a graph in data structures?,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Medium,"um basically, A graph is a non-linear data structure consisting of nodes called vertices connected by edges.",99.0,Excellent
Data Structures,Explain: What is the difference between BFS and DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Easy,"if I remember correctly, BFS explores a level level using a while DFS explores possible a branch using a recursion. bfs",64.0,Average
DBMS,WHAT IS A VIEW IN SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Hard,a virtual based the result a query that does not store view,58.0,Average
OOP,Explain: What is encapsulation?,Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Easy,I don't remember this concept clearly. It might relate to restrict.,25.0,Poor
DBMS,Explain: What is a primary key?,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Hard,"as far as I know, A primary a column set of which uniquely identifies each row a table and cannot contain null values.",73.0,Good
Operating Systems,GIVE A SHORT NOTE ON: WHAT IS A PROCESS IN AN OPERATING SYSTEM,"A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Medium,"A process program in execution that has its own space, program by",53.0,Average
Python,Give a short note on: what is a list in Python,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,"A is a mutable, that can data types.",62.0,Average
OOP,Give a short note on: what is a constructor,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Hard,A constructor refers to a method automatically when an object is created initializes the object's attributes.,84.0,Good
Data Structures,EXPLAIN: WHAT IS A STACK?,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Medium,"i think, a stack is a linear data structure that follows the last in first out principle where insertion and deletion happen at one end.",91.0,Excellent
